host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,about_length,days_hosting,num_verifications,num_amenities
within a few hours,0.69,0.98,f,7,t,t,Entire home/apt,2,1 bath,1,1,92,1,365,14,40,70,207,340,70,6,4.57,4.69,4.39,4.82,4.75,4.93,4.52,t,5.43,34,3767,8,26
within a few hours,0.69,0.98,f,7,t,t,Shared room,1,2.5 shared baths,1,6,33,1,365,28,58,88,225,291,12,2,4.69,4.81,4.65,4.84,4.79,4.77,4.78,t,3.4,34,3767,8,16
within a day,0.5,0.33,f,1,t,t,Entire home/apt,4,1 bath,1,2,134,30,360,0,7,20,295,57,1,0,4.87,4.83,4.83,5,4.98,4.93,4.76,f,0.52,323,3704,6,35
within a few hours,1,0.88,t,2,t,f,Private room,2,1 shared bath,1,1,68,3,365,0,0,21,21,57,0,0,4.66,4.57,4.57,4.88,4.65,4.67,4.59,f,0.55,33,3657,3,28
within a few hours,0.75,0,t,2,t,f,Entire home/apt,4,1 bath,2,2,289,30,365,0,16,46,321,24,0,0,4.9,4.89,5,5,5,5,4.89,f,0.21,167,3575,5,41
within an hour,1,1,f,1,t,t,Entire home/apt,4,1 bath,1,3,75,2,30,6,15,18,75,505,6,2,4.85,4.9,4.94,4.96,4.95,4.9,4.84,t,10.06,25,3527,6,30
within a day,1,1,f,1,t,f,Entire home/apt,2,1 bath,1,1,125,2,90,10,31,54,315,46,6,0,4.98,5,5,5,4.93,4.93,4.88,f,4.71,80,3507,3,24
within an hour,1,1,t,4,t,t,Entire home/apt,2,1.5 baths,1,1,155,2,30,2,8,8,8,327,33,5,4.91,4.94,4.95,4.96,4.97,4.87,4.84,t,3.59,71,3852,11,42
within an hour,1,1,f,2,t,t,Entire home/apt,4,1 bath,1,1,101,1,1125,10,40,70,345,548,80,3,4.69,4.86,4.68,4.94,4.88,4.9,4.73,t,54.08,185,3345,5,28
within an hour,1,0.94,f,3,t,t,Private room,2,1 private bath,1,1,44,2,7,10,40,50,305,211,22,1,4.62,4.82,4.78,4.9,4.8,4.81,4.79,f,4.55,61,3802,4,30
within an hour,1,0.98,t,2,t,t,Private room,2,1 private bath,1,1,60,1,7,7,19,20,217,1067,91,6,4.67,4.78,4.71,4.91,4.91,4.75,4.75,t,17.32,173,3323,8,24
within an hour,1,1,t,0,t,t,Private room,2,1 private bath,1,2,219,2,365,10,23,43,290,12,5,0,4.75,4.92,4.92,4.67,4.75,4.75,4.42,t,0.14,46,3303,8,26
within an hour,1,1,t,0,t,t,Entire home/apt,12,3 baths,4,7,305,3,14,1,1,1,1,33,3,0,4.85,4.88,4.73,5,4.94,4.94,4.73,f,0.32,46,3303,8,34
within a few hours,1,0.86,f,1,t,t,Entire home/apt,6,1.5 baths,3,4,198,2,28,24,54,84,359,119,8,1,4.71,4.89,4.74,4.94,4.96,4.84,4.75,f,2.86,33,3228,4,31
within an hour,1,1,t,0,t,t,Entire home/apt,6,1 bath,2,4,191,3,180,0,0,0,0,17,3,0,4.82,4.88,4.65,4.94,4.82,5,4.71,f,0.83,46,3303,8,34
within a day,0.9,0.66,f,1,t,t,Private room,2,1 private bath,1,1,68,2,1125,18,48,78,353,156,30,3,4.65,4.71,4.31,4.9,4.92,4.83,4.69,f,12.65,26,3205,4,14
within a day,1,0.83,t,1,t,t,Entire home/apt,4,1 bath,2,2,159,2,14,2,3,3,171,17,7,1,4.82,5,4.82,4.94,4.94,4.71,4.88,t,0.17,19,3224,5,55
within an hour,1,0.99,t,1,t,f,Private room,2,1 private bath,1,1,73,3,14,9,31,50,230,560,65,7,4.94,4.96,4.99,4.99,4.95,4.9,4.89,f,5.37,147,3167,6,31
within a day,0.9,0.78,t,1,t,f,Entire home/apt,6,1.5 baths,3,3,307,3,1125,14,38,64,339,135,22,1,4.67,4.8,4.74,4.78,4.71,4.86,4.61,f,1.56,144,3166,6,34
within an hour,1,0.8,f,1,t,t,Entire home/apt,2,1 bath,1,1,130,30,1125,1,2,27,302,75,1,0,4.96,4.96,5,4.97,4.99,4.95,4.89,f,0.73,240,3242,6,33
within a day,1,0.67,t,1,t,t,Private room,2,1 private bath,1,1,95,2,15,24,54,84,174,291,20,1,4.91,4.97,4.88,4.95,4.98,4.9,4.89,f,3.77,210,3092,5,31
within an hour,1,0.83,t,1,t,t,Entire home/apt,3,1 bath,1,1,115,3,1125,0,0,0,170,86,4,0,4.77,4.9,4.82,4.96,4.96,4.92,4.82,f,1.02,76,3036,4,30
within an hour,1,0.78,t,1,t,t,Entire home/apt,2,1 bath,1,1,141,2,7,1,1,1,110,127,6,4,4.93,4.96,4.94,4.95,4.97,4.87,4.83,f,2.99,35,3850,4,24
within a few hours,0.75,0,t,2,t,f,Entire home/apt,5,1.5 baths,3,2,168,30,365,0,0,15,290,25,0,0,5,4.91,4.95,4.9,4.87,4.91,4.73,f,0.28,167,3575,5,44
within a day,1,0,f,1,t,t,Private room,2,1 bath,1,1,70,30,31,1,6,36,311,39,0,0,4.89,4.84,4.87,5,4.97,4.76,4.89,f,0.42,30,2978,5,14
within a day,0.7,0.67,f,4,t,t,Entire home/apt,2,1 bath,1,1,80,30,90,0,30,59,59,220,7,1,4.71,4.83,4.85,4.83,4.75,4.94,4.72,f,5.26,77,3065,4,28
within an hour,1,1,t,1,t,f,Private room,2,1 private bath,1,1,85,2,7,6,23,41,314,231,17,1,4.95,4.95,4.99,4.98,4.98,4.89,4.95,t,3.15,97,3130,3,12
within an hour,1,0.99,t,3,t,t,Entire home/apt,2,1 bath,1,1,64,29,1125,0,4,4,264,61,7,1,4.84,4.8,4.92,4.95,4.93,4.9,4.78,f,0.67,43,2783,4,18
within an hour,1,0.81,t,2,t,t,Entire home/apt,2,1 bath,1,1,96,3,60,0,0,15,105,348,19,0,4.93,4.93,4.97,4.98,4.98,4.89,4.85,f,3.76,109,3133,9,33
within a few hours,0.96,0.93,t,7,t,t,Private room,2,2 shared baths,1,1,92,2,90,5,30,57,328,448,28,3,4.76,4.9,4.77,4.92,4.91,4.97,4.8,f,4.8,31,3011,8,20
within a few hours,1,1,t,0,t,t,Entire home/apt,3,1 bath,1,2,97,3,31,8,21,42,132,15,15,5,4.93,5,5,5,5,4.87,4.93,f,3.54,51,3967,6,35
within an hour,1,0.95,t,6,t,f,Entire home/apt,6,2 baths,2,3,165,28,180,0,6,36,311,348,33,0,4.93,4.92,4.92,4.99,4.99,4.75,4.84,f,3.98,114,3339,8,35
within a few hours,1,1,f,2,t,f,Entire home/apt,2,1 bath,1,1,49,29,1125,0,0,6,79,217,7,1,4.92,4.96,4.99,4.95,4.96,4.69,4.87,t,2.47,36,2841,4,31
within an hour,1,0.97,t,6,t,t,Entire home/apt,2,1 bath,1,1,120,30,1124,17,47,77,93,223,1,0,4.89,4.95,4.96,4.97,4.98,4.88,4.81,f,5.26,154,2834,7,46
within an hour,1,1,t,2,t,t,Entire home/apt,2,1 bath,1,1,101,2,7,8,26,51,141,304,69,9,4.87,4.94,4.9,4.99,4.98,4.89,4.82,t,4.82,121,2833,5,27
within an hour,0.88,0.5,t,1,t,t,Private room,2,1 private bath,1,1,65,28,1125,3,3,3,142,37,3,0,4.76,4.78,4.7,4.95,4.92,4.84,4.7,f,0.42,0,3824,5,35
within an hour,1,0.99,t,3,t,t,Private room,2,1 private bath,1,1,98,1,1125,9,32,58,331,822,73,6,4.85,4.89,4.81,4.95,4.94,4.93,4.84,t,9.66,114,3016,5,41
within an hour,1,1,t,3,t,t,Entire home/apt,4,1 bath,1,1,200,1,90,3,9,23,297,549,108,11,4.96,4.98,4.99,4.99,5,4.96,4.81,t,6.52,18,3452,5,22
within an hour,1,1,t,1,t,t,Entire home/apt,2,1 bath,1,1,82,2,30,14,44,74,74,138,33,4,4.92,4.92,4.96,4.98,4.97,4.95,4.91,t,2.87,9,2797,6,22
within an hour,1,1,t,1,t,t,Entire home/apt,4,1 bath,2,2,147,2,1125,4,17,33,286,268,56,2,4.88,4.91,4.93,4.98,4.94,4.93,4.87,t,3.03,42,2885,4,34
within an hour,1,0.61,t,6,t,t,Entire home/apt,14,3.5 baths,6,8,542,2,60,17,17,17,17,39,0,0,4.53,4.63,4.56,4.88,4.78,4.66,4.41,f,0.42,114,2928,6,42
within an hour,1,0.97,t,1,t,t,Entire home/apt,2,1 bath,1,2,79,2,30,1,8,20,267,126,65,5,4.83,4.88,4.86,4.81,4.79,4.98,4.81,t,1.58,0,2772,4,40
