feature,coefficient
accommodates,39.71438960893403
review_scores_value,-21.94324232911851
bathrooms_text3.5 baths,19.674156754699112
bedrooms,14.393106461929658
review_scores_cleanliness,12.61293199064737
room_typePrivate room,-12.34237407475473
bathrooms_text3 baths,11.674856275954449
bathrooms_text5 baths,11.4244769741767
review_scores_location,10.890200074661038
bathrooms_text1 bath,-9.355018564713136
minimum_nights,-9.218406519975431
num_verifications,7.33400197065291
bathrooms_text4 baths,7.153266852889689
availability_365,7.114441705244282
room_typeHotel room,7.057188552320498
number_of_reviews,-7.026190614211047
bathrooms_text7.5 baths,6.816584803340285
number_of_reviews_l30d,-6.394305839298746
availability_30,5.238014794867994
host_listings_count,4.603364558845047
